City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,cannonvale,-20.2833,148.7,21.66,60,5,1.63,AU,1691972773
135,golden valley,45.0097,-93.3491,20.19,90,100,4.63,US,1691972774
136,vorgashor,67.5833,63.95,15.16,97,98,2.46,RU,1691972774
137,papatowai,-46.5619,169.4708,7.56,75,47,3.45,NZ,1691972774
138,laascaanood,8.4774,47.3597,23.53,62,32,10.87,SO,1691972775
139,ola,59.5833,151.2833,23.97,73,9,2.02,RU,1691972775
140,kalevala,65.2,31.1667,15.02,98,98,1.68,RU,1691972775
141,puerto maldonado,-12.6,-69.1833,19.93,79,100,1.83,PE,1691972776
142,alofi,-19.0595,-169.9187,23.94,94,100,7.2,NU,1691972776
143,kwang binh,17.4833,106.6,28.68,74,81,3.55,VN,1691972776
144,ta`u,-14.2336,-169.5144,27.44,78,54,7.0,AS,1691972776
145,prado,-17.3411,-39.2208,22.01,84,38,2.71,BR,1691972777
146,ust-nera,64.5667,143.2,25.35,31,84,1.45,RU,1691972777
147,arteche,12.2645,125.4048,27.38,82,99,1.16,PH,1691972777
148,port lincoln,-34.7333,135.8667,13.12,66,62,1.99,AU,1691972778
149,santiago de cao,-7.9589,-79.2392,22.07,88,75,3.09,PE,1691972778
150,vila franca do campo,37.7167,-25.4333,21.23,91,82,2.22,PT,1691972779
151,glace bay,46.1969,-59.957,20.5,84,100,2.24,CA,1691972779
152,bac lieu,9.285,105.7244,27.48,80,6,4.55,VN,1691972779
153,camana,-16.6228,-72.7111,17.95,82,22,1.7,PE,1691972780
154,luderitz,-26.6481,15.1594,13.03,73,0,2.73,NA,1691972780
155,nova sintra,14.8667,-24.7167,23.74,84,61,3.45,CV,1691972780
156,oslo,59.9127,10.7461,16.5,96,100,3.16,NO,1691972384
157,nuuk,64.1835,-51.7216,9.34,93,100,3.6,GL,1691972781
158,firmat,-33.4594,-61.4832,12.73,44,83,4.14,AR,1691972781
159,poltavka,54.3663,71.7632,7.69,62,90,3.61,RU,1691972781
160,nynashamn,58.9034,17.9479,13.95,89,23,2.75,SE,1691972782
161,wanning,18.8003,110.3967,29.13,72,29,2.73,CN,1691972782
162,youssoufia,32.2463,-8.5294,25.71,56,60,4.74,MA,1691972782
163,puerto aysen,-45.4,-72.7,5.46,100,100,1.93,CL,1691972783
164,xilin hot,43.9667,116.0333,24.3,38,40,3.92,CN,1691972783
165,gunnison,38.7,-107.0673,21.47,30,81,1.25,US,1691972783
166,wulingyuan,29.3494,110.5441,24.6,82,86,0.2,CN,1691972784
167,saint-francois,46.4154,3.9054,17.69,100,0,1.54,FR,1691972784
168,al hufuf,25.3646,49.5653,34.19,26,0,2.06,SA,1691972784
169,alaminos,14.0639,121.2465,29.05,76,63,1.76,PH,1691972785
170,zhangjiakou,40.81,114.8794,23.95,51,84,0.85,CN,1691972785
171,yaren,-0.5472,166.916,27.51,80,99,7.28,NR,1691972785
172,strezhevoy,60.7333,77.5889,11.98,85,100,3.06,RU,1691972786
173,ulladulla,-35.35,150.4667,10.18,94,100,3.29,AU,1691972786
174,berezovyy,51.6667,135.7,16.25,97,100,0.98,RU,1691972786
175,pont rouge,48.8833,-72.0825,18.06,98,100,0.87,CA,1691972787
176,labrador city,52.9463,-66.9114,15.95,72,75,2.06,CA,1691972787
177,konarka,19.9,86.1167,26.22,74,100,2.37,IN,1691972787
178,kasempa,-13.4584,25.8338,12.85,38,5,1.61,ZM,1691972788
179,sao jose da coroa grande,-8.8978,-35.1478,23.11,78,45,3.75,BR,1691972788
180,saint-philippe,-21.3585,55.7679,20.77,84,42,5.64,RE,1691972788
181,fortuna,40.5982,-124.1573,18.88,79,20,6.17,US,1691972301
182,olyokminsk,60.3736,120.4264,19.81,87,100,1.12,RU,1691972789
183,novyye burasy,52.1324,46.0714,22.3,37,95,0.25,RU,1691972789
184,arraial do cabo,-22.9661,-42.0278,20.93,88,100,5.87,BR,1691972651
185,codrington,-38.2667,141.9667,9.07,67,98,1.23,AU,1691972790
186,ha tinh,18.3333,105.9,28.32,75,93,1.3,VN,1691972790
187,usol'ye,59.4268,56.6808,13.86,87,34,0.58,RU,1691972790
188,kristiansund,63.1115,7.732,15.03,94,75,3.09,NO,1691972791
189,akonolinga,3.7667,12.25,20.27,99,97,1.08,CM,1691972791
190,callao,-12.0667,-77.15,22.16,68,0,4.63,PE,1691972791
191,loukhi,66.0764,33.0381,14.7,96,89,2.24,RU,1691972792
192,liaocheng,36.4439,115.9647,26.18,77,0,1.85,CN,1691972792
193,st. john's,47.5649,-52.7093,19.32,85,75,5.66,CA,1691972685
194,safi,32.1667,-8.8333,24.78,56,58,5.57,MA,1691972793
195,ar rutbah,33.0381,40.2848,32.9,16,43,2.14,IQ,1691972793
196,edson,53.5835,-116.4356,28.08,32,0,2.57,CA,1691972793
197,vilyuchinsk,52.9306,158.4028,19.15,68,4,0.28,RU,1691972794
198,ponta delgada,37.7333,-25.6667,21.4,88,75,4.12,PT,1691972795
199,usogorsk,63.4106,48.6872,18.11,78,52,1.77,RU,1691972795
200,cudillero,43.5622,-6.1459,20.51,83,100,0.0,ES,1691972796
201,ancud,-41.8697,-73.8203,10.61,99,100,4.02,CL,1691972796
202,chimoio,-19.1164,33.4833,13.92,88,0,0.94,MZ,1691972797
203,bel ombre,-4.6167,55.4167,25.91,78,40,7.72,SC,1691972797
204,ghadamis,30.1337,9.5007,28.36,27,0,7.23,LY,1691972797
205,orosei,40.3798,9.6929,22.88,52,0,1.6,IT,1691972763
206,sangmelima,2.9333,11.9833,19.79,99,95,0.94,CM,1691972798
207,yuzhno-kurilsk,44.0306,145.8556,14.52,79,80,5.31,RU,1691972798
208,muana,-1.5283,-49.2167,25.04,84,97,1.6,BR,1691972798
209,sakaiminato,35.55,133.2333,29.96,79,75,4.63,JP,1691972798
210,chegdomyn,51.1167,133.0167,17.38,99,100,1.07,RU,1691972799
211,akureyri,65.6835,-18.0878,7.96,81,0,2.57,IS,1691972663
212,hongqiao,26.7684,112.1081,26.86,82,14,1.2,CN,1691972799
213,san antonio de pale,-1.4014,5.6325,23.71,87,100,6.71,GQ,1691972800
214,aioun,16.6614,-9.6149,25.7,76,99,11.9,MR,1691972800
215,susuman,62.7833,148.1667,22.76,35,49,1.22,RU,1691972800
216,guerrero negro,27.9769,-114.0611,23.11,71,10,8.63,MX,1691972800
217,henderson,36.0397,-114.9819,35.55,21,0,7.2,US,1691972801
218,east falmouth,41.5784,-70.5586,24.41,93,40,5.14,US,1691972801
219,gadzhiyevo,69.2551,33.3362,14.84,81,97,2.01,RU,1691972801
220,tazovsky,67.4667,78.7,8.83,72,2,2.29,RU,1691972801
221,veraval,20.9,70.3667,26.12,86,100,7.16,IN,1691972802
222,coruripe,-10.1256,-36.1756,22.31,75,67,3.98,BR,1691972802
223,gizo,-8.103,156.8419,26.53,84,96,8.63,SB,1691972802
224,iwon-up,40.3231,128.6553,23.02,96,96,2.37,KP,1691972803
225,taltal,-25.4,-70.4833,15.73,82,24,1.96,CL,1691972803
226,inhambane,-23.865,35.3833,18.8,76,0,3.55,MZ,1691972803
227,diu,20.7141,70.9822,25.83,86,100,7.06,IN,1691972803
228,laojunmiao,39.8333,97.7333,19.43,43,99,3.08,CN,1691972804
229,aksaray,38.3726,34.0254,27.79,23,33,2.69,TR,1691972804
230,vorkuta,67.5,64.0,15.58,96,97,2.53,RU,1691972804
231,punta arenas,-53.15,-70.9167,0.62,92,100,4.51,CL,1691972804
232,weno,7.4515,151.8468,27.97,83,100,2.06,FM,1691972805
233,utrik,11.2278,169.8474,28.16,73,35,6.3,MH,1691972805
234,richards bay,-28.783,32.0377,16.93,81,0,1.86,ZA,1691972805
235,galle,6.0367,80.217,26.54,82,96,5.45,LK,1691972805
236,enewetak,11.3474,162.3373,28.86,73,100,5.69,MH,1691972806
237,remire-montjoly,4.9167,-52.2667,26.02,89,0,0.0,GF,1691972806
238,santo antonio,-6.3106,-35.4789,21.95,83,31,5.84,BR,1691972806
239,dapaong,10.8639,0.205,23.31,94,100,3.01,TG,1691972807
240,lucaya,26.5333,-78.6667,29.96,74,75,2.57,BS,1691972807
241,seneca falls,42.9106,-76.7966,23.01,81,57,1.97,US,1691972807
242,ouallam,14.3188,2.0866,29.33,63,96,3.48,NE,1691972808
243,port-cartier,50.0334,-66.8654,17.08,89,100,3.39,CA,1691972808
244,fauske,67.2588,15.3918,17.1,80,100,3.33,NO,1691972809
245,ponce,18.073,-66.6185,28.62,80,8,3.24,PR,1691972647
246,wundanyi,-3.4019,38.364,14.05,88,13,2.15,KE,1691972810
247,wau,7.7029,27.9953,20.78,96,13,1.11,SS,1691972810
248,tera,14.0078,0.7531,30.1,60,100,5.4,NE,1691972811
249,kerikeri,-35.2268,173.9474,12.32,94,100,3.24,NZ,1691972811
250,onega,63.9061,38.1404,17.01,97,71,2.94,RU,1691972811
251,bom jesus,-9.0744,-44.3586,23.06,35,8,1.7,BR,1691972811
252,touros,-5.1989,-35.4608,24.6,80,17,7.49,BR,1691972812
253,brookings,44.3114,-96.7984,19.54,92,100,7.2,US,1691972719
254,ramenskoye,55.5669,38.2303,18.24,100,75,2.0,RU,1691972812
255,gereshk,31.8209,64.5701,23.8,15,0,3.1,AF,1691972812
256,astorga,-23.2325,-51.6656,19.13,72,83,2.04,BR,1691972813
257,lauro de freitas,-12.8944,-38.3272,25.01,83,40,3.6,BR,1691972813
258,zapolyarnyy,69.4154,30.8136,13.6,87,99,1.64,RU,1691972813
259,shalqar,47.8333,59.6,18.51,24,3,1.19,KZ,1691972814
260,ziniare,12.5822,-1.2983,25.02,84,100,2.99,BF,1691972814
261,saint-louis,16.3333,-15.0,31.8,60,49,2.83,SN,1691972814
262,arkhangel'sk,64.5401,40.5433,16.09,97,43,2.06,RU,1691972815
263,thurgoona,-36.0451,146.9919,9.89,75,99,0.77,AU,1691972815
264,sanya,18.2431,109.505,31.09,79,40,0.0,CN,1691972737
265,kavaratti,10.5669,72.642,27.44,71,100,5.1,IN,1691972815
266,qashyr,53.0675,76.1036,10.58,88,100,3.2,KZ,1691972816
267,raduzhny,62.0961,77.475,12.8,77,97,3.88,RU,1691972816
268,ketchikan,55.3422,-131.6461,18.26,72,0,2.57,US,1691972816
269,vilhena,-12.7406,-60.1458,22.16,71,76,3.56,BR,1691972817
270,ebon,4.582,168.6964,28.66,71,86,2.28,MH,1691972817
271,kampung tanjung karang,3.4242,101.1849,24.77,90,94,2.48,MY,1691972817
272,novyy urengoy,66.0833,76.6333,10.37,65,0,3.5,RU,1691972817
273,muynoq,43.7683,59.0214,20.55,62,4,4.02,UZ,1691972818
274,la punta,-33.1837,-66.3127,16.03,25,69,3.93,AR,1691972818
275,hermanus,-34.4187,19.2345,9.33,68,100,3.56,ZA,1691972818
276,recreo,-29.2818,-65.061,16.38,31,0,5.14,AR,1691972819
277,usinsk,65.9939,57.5281,17.0,93,99,2.47,RU,1691972819
278,trzic,46.3636,14.3105,19.14,95,20,0.51,SI,1691972819
279,nha trang,12.25,109.1833,30.0,68,5,1.26,VN,1691972819
280,nizhniy kuranakh,58.8353,125.4869,18.52,92,100,0.85,RU,1691972820
281,peronne,49.9333,2.9333,14.32,94,0,1.54,FR,1691972820
282,prince rupert,54.3161,-130.3201,14.83,100,100,3.6,CA,1691972617
283,ewo,-0.8725,14.8206,24.98,76,56,2.78,CG,1691972821
284,jiagedaqi,50.4167,124.1167,20.23,73,14,1.37,CN,1691972821
285,salinas,36.6777,-121.6555,28.34,72,0,6.17,US,1691972821
286,lata,40.1629,-8.3327,12.27,97,46,1.07,PT,1691972822
287,reggane,26.7158,0.1714,36.34,11,0,4.64,DZ,1691972822
288,mount pearl,47.5166,-52.7813,18.86,86,75,5.66,CA,1691972822
289,panacan,9.2463,118.4082,27.45,77,100,0.35,PH,1691972822
290,plouzane,48.3833,-4.6167,17.1,94,100,6.69,FR,1691972823
291,taperoa,-7.2075,-36.8267,20.43,76,61,7.06,BR,1691972823
292,sargur,11.9833,76.4167,19.84,95,100,1.79,IN,1691972824
293,trairi,-3.2778,-39.2689,25.73,84,57,5.32,BR,1691972824
294,nova vicosa,-17.8919,-39.3719,22.29,82,23,3.09,BR,1691972824
295,leca da palmeira,41.191,-8.7003,17.33,93,0,2.06,PT,1691972825
296,island harbour,50.724,-1.2758,17.77,87,98,3.13,GB,1691972825
297,tamanrasset,22.785,5.5228,27.95,18,0,1.54,DZ,1691972826
298,howrah,22.5892,88.3103,27.0,94,75,0.0,IN,1691972826
299,ahiri,19.4,80.0167,24.17,92,100,0.37,IN,1691972826
300,al muwayh,22.4333,41.7583,29.18,35,70,3.74,SA,1691972826
301,opuwo,-18.0607,13.84,15.54,31,2,2.18,NA,1691972827
302,santa rosalia,27.3167,-112.2833,31.98,53,0,1.44,MX,1691972827
303,zakamensk,50.3741,103.2863,15.3,99,100,0.84,RU,1691972827
304,cabo san lucas,22.8909,-109.9124,34.78,58,20,5.14,MX,1691972828
305,yanbu,24.0891,38.0637,31.02,89,0,4.12,SA,1691972828
306,banda aceh,5.5577,95.3222,26.17,79,97,6.84,ID,1691972829
307,swift current,50.2834,-107.8014,25.45,31,0,5.66,CA,1691972753
308,pimentel,-6.8367,-79.9342,23.16,78,20,6.69,PE,1691972829
309,gondar,12.6,37.4667,13.67,87,94,0.91,ET,1691972829
310,sokoni,-6.4333,39.55,24.2,84,4,6.39,TZ,1691972830
311,puerto cabezas,14.0351,-83.3888,26.58,88,47,4.82,NI,1691972830
312,severo-yeniseyskiy,60.3725,93.0408,13.11,99,100,1.0,RU,1691972830
313,badger,64.8,-147.5333,22.77,43,40,3.09,US,1691972831
314,aripuana,-9.1667,-60.6333,22.45,91,98,1.67,BR,1691972636
315,kushiro,42.975,144.3747,16.53,88,75,3.6,JP,1691972803
